suggested_icd_name,ayurveda_term,ayurveda_code,ayurveda_confidence,ayurveda_justification,siddha_term,siddha_code,siddha_confidence,siddha_justification,unani_term,unani_code,unani_confidence,unani_justification
"Exercise-related health conditions, unspecified",,,,,,,,,Riyāḍat Khāliṣa,O-425,90%,"The Unani term 'Riyāḍat Khāliṣa' describes intentional exercise for specific health benefits, aligning with the broad category of exercise-related health conditions in ICD-11, lacking more specific details to pinpoint a narrower category."
"Exercise-related condition, unspecified",,,,,,,,,Riyāḍat Qalīla,O-426,90%,"'Riyāḍat Qalīla' describes insufficient or prematurely stopped exercise, aligning with the broad category of exercise-related conditions in ICD-11, lacking specificity for a narrower diagnosis."
Overtraining syndrome,,,,,,,,,Riyāḍat  Qawiyya,O-428,70%,"'Riyāḍat Qawiyya' describes rigorous exercise potentially leading to negative consequences like lethargy and excessive evacuation, aligning with the symptoms of overtraining syndrome, which involves physical overexertion resulting in adverse effects."
Other specified activity-related health condition,,,,,,,,,Riyāḍat Ḍa‘īfa,O-429,90%,"'Riyāḍat Ḍa‘īfa' describes light exercise, lacking significant exertion, which broadly fits within the category of 'Other specified activity-related health condition' in ICD-11, encompassing less strenuous physical activity issues."
Exercise-induced collapse,,,,,,,,,Riyāḍat Sarī‘a,O-430,90%,"The Unani term 'Riyāḍat Sarī‘a' describes rapid exercise potentially leading to collapse, aligning with the ICD-11 category of exercise-induced conditions, specifically those causing collapse."
Exercise-related injury or other specified exercise-induced condition,,,,,,,,,Riyāḍat Baṭī’a,O-431,90%,"'Riyāḍat Baṭī’a' describes slow exercise, and while not a specific disease, ICD-11's 'Exercise-related injury or other specified exercise-induced condition' encompasses adverse effects from physical activity, fitting the concept of potentially problematic slow exercise."
"Exhaustion, unspecified",,,,,,,,,"Riyāḍat
Ḥathītha",O-432,90%,"'Rigorous and rapid exercise' described by Riyāḍat Ḥathītha suggests excessive physical exertion leading to exhaustion, aligning with the broad definition of unspecified exhaustion in ICD-11, encompassing various causes."
Exercise-related injury of unspecified body region,,,,,,,,,Riyāḍat Mutarākhiya,O-433,90%,"'Riyāḍat Mutarākhiya' describes gentle exercise,  thus the most appropriate ICD-11 code would cover potential injuries from such activity, albeit low-intensity, acknowledging the possibility of overuse or strain."
"Exercise-related illness or injury, unspecified",,,,,,,,,Riyāḍat Mu‘tadila,O-434,90%,"The Unani term 'Riyāḍat Mu‘tadila' describes moderate exercise, which, while generally beneficial, can lead to unspecified injuries or illnesses if improperly performed or overdone, aligning with the ICD-11 category encompassing such conditions."
Massage therapy,,,,,,,,,Dalk,O-435,90%,"The description of 'Dalk' as a therapeutic massage involving manual manipulation of muscles to eliminate metabolic waste aligns directly with the general concept of massage therapy within the context of complementary and alternative medicine, lacking a more specific ICD-11 category."
"Manual therapy techniques, unspecified",,,,,,,,,Dalk Ṣulb,O-436,90%,"The description of 'Dalk Ṣulb' as a deep and strong pressure massage to harden an organ aligns with manual therapy, though lacking specific anatomical location;  ICD-11 lacks a more specific category for this type of deep tissue massage."
Other specified manipulative and body-based methods,,,,,,,,,Dalk Layyin,O-437,90%,"The description of 'Dalk Layyin' as a soft, gentle massage aimed at opening channels and softening organs aligns with the broad category of manipulative and body-based methods,  where 'other specified' accounts for techniques not explicitly listed."
Other specified procedures performed on the musculoskeletal system,,,,,,,,,Dalk Qalīl,O-438,90%,"'Dalk Qalil' describes a short-duration massage, a procedure impacting the musculoskeletal system;  lacking more specific details, 'Other specified procedures' is the most accurate ICD-11 category."
Other specified massage therapy,,,,,,,,,Dalk Amlas,O-442,90%,"'Dalk Amlas' describes a specific type of massage, aligning with the broad category of 'Other specified massage therapy' within ICD-11, encompassing techniques not explicitly listed elsewhere. The use of oil or cloth further supports this classification."
Other specified manual therapy techniques,,,,,,,,,Dalk Mu‘tadil,O-440,90%,"'Dalk Mu‘tadil' describes a moderate massage technique aiming for healthy organs, aligning with the broad scope of 'Other specified manual therapy techniques' within ICD-11, lacking a more precise equivalent for this specific modality."
Activity-related muscle soreness,,,,,,,,,Dalk Isti‘dād,O-443,90%,"'Dalk Isti‘dād' describes a pre-exercise massage, a preventative measure against muscle strain or soreness, aligning with the ICD-11 category encompassing activity-related musculoskeletal issues."
Other specified body treatments,,,,,,,,,Dalk Istirdād,O-444,90%,"'Dalk Istirdād' describes a post-exercise massage aimed at relaxation and restoring the body to its normal state, aligning with the broad category of 'Other specified body treatments' within ICD-11, which encompasses various therapeutic body manipulations."
"Procedures, surgical",,,,,,,,,Al-‘Amal bi’l Yad,O-445,95%,"The Unani term 'Al-‘Amal bi’l Yad', meaning 'treatment with surgical interventions,' directly translates to surgical procedures, which is broadly covered under the ICD-11 category 'Procedures, surgical'."
"L98.3, Other specified procedures, not elsewhere classified",,,,,,,,,Al-Kayy,O-446,90%,"The Unani procedure 'Al-Kayy' involves cautery, a procedure to stop bleeding or prevent putrefaction.  This aligns with 'Other specified procedures' in ICD-11, as cautery doesn't fit neatly into more specific categories within this chapter."
Procedure using thermal energy for hemostasis or tissue destruction,,,,,,,,,Al-Kayy bi’l Nār,O-447,90%,"'Al-Kayy bi’l Nār' explicitly describes cauterization using heated metals, directly corresponding to procedures using thermal energy for hemostasis or tissue destruction;  the lack of a specific ICD-11 code for 'actual cautery' necessitates this broader but highly relevant categorization."
"Procedure, not elsewhere classified",,,,,,,,,Al-Kayy bi’l Ḥadīd,O-448,95%,"The provided description explicitly details a surgical procedure – cauterization using a heated iron.  This directly corresponds to the broad category of 'Procedure, not elsewhere classified' within ICD-11, as no more specific ICD-11 code perfectly encompasses this ancient procedure."
Other specified procedures performed on the skin and subcutaneous tissue,,,,,,,,,Al-Kayy bi’l Dhahab,O-449,90%,"The procedure 'Al-Kayy bi’l Dhahab' describes cauterization using heated gold, which directly aligns with procedures performed on the skin and subcutaneous tissue; the 'other specified' qualifier is used due to the specific modality of gold cauterization not having a more precise ICD-11 code."
"Procedure related to wound care and tissue repair, unspecified",,,,,,,,,Al-Kayy bi’l Adwiya al-Muḥarriqa,O-450,90%,"'Cauterization with caustics' directly describes a surgical procedure involving wound treatment and tissue repair, aligning with the broad scope of the ICD-11 code encompassing unspecified procedures in this category."
"Procedures on abscesses, cysts, and swellings",,,,,,,,,Shaqq al-Awrām,O-452,90%,"The Unani term 'Shaqq al-Awrām' directly translates to 'incision of swellings,' which is a surgical procedure targeting abscesses, cysts, or other swellings; this aligns with the ICD-11 category encompassing such procedures."
Abscess incision and drainage,,,,,,,,,Baṭṭ al-Khurāj,O-453,95%,"The Unani term 'Baṭṭ al-Khurāj' directly translates to 'incision of an abscess' and the provided definition explicitly describes the surgical drainage of pus from an abscess, perfectly matching the procedure described in ICD-11 under Abscess incision and drainage."
Rupture of a cyst or other swelling,,,,,,,,,Baṭṭ al-Awrām,O-454,90%,"The Unani term 'Baṭṭ al-Awrām' directly translates to 'perforation/rupture of swellings,' which accurately describes the pathophysiological event of a cyst or other swelling rupturing, aligning with the broad ICD-11 category encompassing such occurrences, though further clinical details would refine the selection."
"6A12.1, Laryngeal incision",,,,,,,,,Shaqq al-Ḥanjara,O-455,95%,"The Unani term 'Shaqq al-Ḥanjara' explicitly describes a laryngeal incision, which directly corresponds to the ICD-11 code 6A12.1, specifying a procedure involving the larynx."
Procedure for removal of urinary calculus,,,,,,,,,Ikhrāj al-Ḥaṣā,O-456,95%,"The Unani term 'Ikhrāj al-Ḥaṣā' explicitly describes the surgical extraction of a urinary bladder stone, directly corresponding to the ICD-11 category encompassing procedures for the removal of urinary calculi, rather than conditions like nephrolithiasis itself."
8-10.4 Amputation of limb(s),,,,,,,,,Qaṭ‘ al-Aṭrāf,O-457,95%,"The Unani term 'Qaṭ‘ al-Aṭrāf' directly translates to 'amputation of limbs', and the provided definitions explicitly refer to limb amputation due to gangrene, fitting perfectly with ICD-11's category for amputations."
Fracture of other specified bones,,,,,,,,,Nashr al-‘Iẓām,O-458,90%,"The Unani term 'Nashr al-‘Iẓām,' meaning 'sawing off bones' or cutting a bone, directly relates to a bone fracture, and 'other specified bones' accounts for the lack of specific bone location in the provided definition."
6A70. Male circumcision,,,,,,,,,Taṭhīr al-Ṣibyān,O-459,95%,"The provided term 'Taṭhīr al-Ṣibyān' explicitly describes male circumcision, a surgical procedure aligning directly with ICD-11 code 6A70, which classifies male circumcision as a procedure."
Procedure for varicose vein removal,,,,,,,,,Qaṭ‘ al-Dawālī,O-460,95%,"The Unani term 'Qaṭ‘ al-Dawālī', meaning 'cutting of varices' and describing surgical removal of twisted veins, directly corresponds to surgical procedures for varicose veins, which would fall under the ICD-11 chapter encompassing surgical procedures rather than a specific disease classification."
"Procedure for removal of ascitic fluid, unspecified",,,,,,,,,Bazl al-Mā',O-461,95%,"The Unani term 'Bazl al-Mā', meaning 'paracentesis' and defined as a procedure to remove ascitic fluid, directly corresponds to the ICD-11's procedural category related to fluid removal, although it lacks specific location to allow for higher confidence."
"Amputation of limb(s), unspecified",,,,,,,,,Batr,O-462,95%,"The Unani term 'Batr' (بتر), meaning amputation, directly corresponds to the ICD-11 category encompassing amputations, with 'Unspecified' chosen due to the lack of further specification regarding the limb or cause in the provided definition."
"8-S00A, Fracture of the upper limb, unspecified",,,,,,,,,Al-Jabr,O-463,95%,"The Unani term 'Al-Jabr', meaning 'bone-setting', directly addresses the treatment of fractures, making 'Fracture of the upper limb, unspecified' the most appropriate ICD-11 code, acknowledging that the exact bone location isn't specified in the input."
"8S00,Dislocation of joint",,,,,,,,,Radd al-Fakk,O-464,95%,"'Radd al-Fakk' directly translates to 'reduction of dislocation,' which is a procedure to correct a dislocated joint, aligning precisely with the ICD-11 category 8S00, encompassing various types of joint dislocations."
"8.06- Other procedures, not elsewhere classified",,,,,,,,,Al-Khiyāṭa,O-465,95%,"The Unani term 'Al-Khiyāṭa' directly translates to 'suturing', a surgical procedure.  ICD-11's 'Other procedures, not elsewhere classified' encompasses various surgical interventions, with suturing being a common component."
Dietary management of health and disease,,,,,,,,,Al-Tadbīr bi’l Ghidhā’,O-466,90%,"'Al-Tadbīr bi’l Ghidhā’' directly translates to 'management through diet,' encompassing both health maintenance and disease management, which is a core aspect of dietary therapy and preventative medicine, aligning closely with the broader scope of ICD-11 codes related to dietary interventions and lifestyle factors in disease prevention and treatment, rather than a specific disease."
Unspecified dietary deficiency,,,,,,,,,Ghidhā’ Jayyid  al-Inhiḍām,O-485,90%,"The Unani term 'Ghidhā’ Jayyid al-Inhiḍām' describes a diet completely digested, implying the absence of deficiencies leading to incomplete digestion.  This aligns most closely with the broad category of dietary deficiencies within ICD-11, lacking more specific details for a narrower classification."
Other specified dietary deficiencies,,,,,,,,,Al-Ghidhā’ al-Mufrad,O-468,90%,"'Al-Ghidhā’ al-Mufrad' describes a single-item diet, potentially leading to nutritional deficiencies not specifically categorized elsewhere;  this aligns with the broad scope of 'Other specified dietary deficiencies' within ICD-11."
"Disorders of metabolism and nutrition, not elsewhere classified",,,,,,,,,Ghidhā’ bi’l Quwwa al-Ba‘īda,O-477,90%,"The Unani term describes a dietary substance transforming into body tissue via innate heat, aligning with metabolic processes and nutritional aspects not specified elsewhere in ICD-11; the lack of a specific pathology makes this the most fitting broad category."
Disorders of nutrition and metabolism,,,,,,,,,Ghidhā’ Kathīf Mu‘tadil al-Ghidhā’ Ḥasan al-Kaymūs,O-514,90%,"The Unani description focuses on diet and its impact on humors and blood consistency, directly relating to nutritional and metabolic processes, which falls under the broad umbrella of 'Disorders of nutrition and metabolism' in ICD-11; a more specific ICD-11 code would require more clinical detail."
Other specified disorders of food intake and eating behavior,,,,,,,,,Ghidhā’ Dawā’ī,O-480,90%,"'Dietary drug' (Ghidhā’ Dawā’ī) implies a substance used for both nutritional and therapeutic purposes, blurring the line between food and medicine, aligning best with the broad category of unspecified eating or food intake disorders in ICD-11."
Other specified dietary deficiency,,,,,,,,,Ghidhā’ Dawā’ī Dhu’l Khāṣiyat,O-481,90%,"The Unani term describes a dietary substance impacting the body through its form, matter, and quality, aligning with a dietary deficiency not explicitly specified elsewhere in ICD-11;  'Other specified' accounts for the lack of a precise, corresponding Unani-ICD-11 match."
"K73.0, Non-specific disorders of digestion",,,,,,,,,Ghidhā’ ‘Asir al-Inhiḍām,O-484,90%,"The Unani term 'Ghidhā’ ‘Asir al-Inhiḍām' describes a dietary substance poorly absorbed, leaving residue in the stomach and vessels, which directly correlates with non-specific digestive disorders, encompassing difficulties in digestion and absorption as defined by ICD-11 K73.0."
K73.1-Indigestion,,,,,,,,,Ghidhā’ Radī’  al-Inhiḍām,O-486,90%,"The Unani term 'Ghidhā’ Radī’ al-Inhiḍām' describes a dietary substance that is not completely digested, directly corresponding to the ICD-11 code K73.1 for indigestion, which encompasses incomplete digestion and related symptoms."
"Disorders of digestion and bowel movements, unspecified",,,,,,,,,Ghidhā’ Sarī‘ al-Nuzūl,O-489,90%,"The Unani term 'Ghidhā’ Sarī‘ al-Nuzūl' describes a diet that doesn't stay in the stomach long, pointing to rapid transit and potentially insufficient digestion, which are encompassed under unspecified disorders of digestion and bowel movements in ICD-11."
Delayed gastric emptying,,,,,,,,,Ghidhā’ Baṭī’ al-Nuzūl,O-490,90%,"The Unani term 'Ghidhā’ Baṭī’ al-Nuzūl' directly describes food remaining in the stomach longer than usual, which is the defining characteristic of delayed gastric emptying as classified within the ICD-11 digestive system disorders."
Nutritional deficiency,,,,,,,,,Ghidhā’ Mu‘tadil Mu‘tadil al-Ghidhā’ Ḥasan al-Kaymūs,O-524,90%,"The Unani term describes a diet lacking sufficient nutrients to maintain good humors and blood consistency, directly relating to nutritional deficiencies as categorized in ICD-11."
Nutritional deficiency anemia,,,,,,,,,Ghidhā’ Kathīf Qalīl al-Ghidhā’ Mu‘tadil al-Kaymūs,O-513,80%,"The Unani description points to a diet lacking in essential nutrients ('Ghidhā’ Kathīf Qalīl al-Ghidhā’'), resulting in poor-quality blood ('thick consistency'), aligning with the features of anemia caused by nutritional deficiencies as classified within ICD-11."
Nutritional deficiency anaemia,,,,,,,,,Ghidhā’ Laṭīf Qalīl al-Ghidhā’ Radī’ al-Kaymūs,O-502,90%,"The Unani description of 'Ghidhā’ Laṭīf Qalīl al-Ghidhā’ Radī’ al-Kaymūs' points to poor nutrition leading to thin blood and bad humours, aligning with the characteristics of anaemia caused by nutritional deficiencies as classified in ICD-11."
"Disorders of nutrition and metabolism, unspecified",,,,,,,,,Ghidhā’ Mu‘tadil Mu‘tadil al- Ghidhā’ Radī’ al-Kaymūs,O-525,70%,"The Unani description points to an imbalance in nutrition and humoral factors leading to poor blood quality, aligning broadly with unspecified nutritional and metabolic disorders within ICD-11, though lacking specific disease detail."
Disorders of nutritional homeostasis,,,,,,,,,Ghidhā’ Mu‘tadil Kathīr al-Ghidhā’  Radī’ al-Kaymūs,O-519,60%,"The Unani description points to a dietary imbalance resulting in poor-quality blood and humors, aligning with the broad scope of 'Disorders of nutritional homeostasis' in ICD-11, though lacking specific diagnostic detail for a more precise ICD-11 code."
Dietary factors influencing health status,,,,,,,,,Ghidhā’ Mu‘tadil Mu‘tadil al- Ghidhā’ Mu‘tadil al-Kaymūs,O-526,90%,"The Unani term describes a diet promoting balanced humors and blood consistency, directly relating to the broad ICD-11 category encompassing dietary influences on health, lacking a more precise equivalent for this specific nuanced dietary description."
Underweight,,,,,,,,,Al-Aghdhiya al-Mukhṣiba li’l Badan,O-530,90%,"The Unani term 'Al-Aghdhiya al-Mukhṣiba li’l Badan' directly refers to diets for weight gain, indicating a condition of insufficient body weight, which aligns with the ICD-11 definition of underweight."
Flatulence,,,,,,,,,Al-Aghdhiya al-Muwallida li’l Riyāḥ,O-531,90%,"The Unani term 'Al-Aghdhiya al-Muwallida li’l Riyāḥ' directly translates to 'diets causing flatulence', which is a symptom directly relatable to  'Flatulence' as a symptom and not a disease, and is not specifically coded in ICD-11 but is a common finding in many gastrointestinal conditions."
Obstructive disorders of the intestines,,,,,,,,,Al-Aghdhiya al-Muwallida li’l Sudad,O-535,80%,"The Unani term 'Al-Aghdhiya al-Muwallida li’l Sudad' describes diets causing bodily obstructions, most specifically aligning with intestinal obstructions given the lack of further specification in the provided definition.  This maps well to ICD-11's category encompassing various intestinal obstructions."
Dehydration due to diarrhoeal disease,,,,,,,,,Al-Mā’ al-Māliḥ,O-539,90%,"The description of 'Al-Mā’ al-Māliḥ' inducing diarrhoea, causing thin and dry skin, and emaciation directly points to dehydration as a likely consequence of diarrhoeal disease, aligning with ICD-11's focus on the underlying cause and resulting dehydration."
Z99.1 - Factors influencing health status,,,,,,,,,Ḥifẓ al-Ṣiḥḥa bi Ḥasabi’l Awqāt al-Arba‘a,O-541,90%,"The Unani term focuses on maintaining optimal health through seasonal adjustments and preventative measures, aligning with ICD-11's Z99.1, which accounts for factors influencing health status, rather than specific diseases."
Z71.0 - Health-seeking behaviours,,,,,,,,,Ḥifẓ al-Ṣiḥḥa bi’l Ghidhā’,O-543,90%,"The Unani term 'Ḥifẓ al-Ṣiḥḥa bi’l Ghidhā’ focuses on proactive health maintenance through dietary practices, aligning directly with the ICD-11 category Z71.0 which encompasses health-seeking behaviours related to maintaining well-being and preventing disease through lifestyle choices such as diet."
Z87.89 - Other specified factors influencing health status,,,,,,,,,Ḥifẓ al-Ṣiḥḥa bi’l Riyāḍa,O-545,90%,"The Unani concept of 'Ḥifẓ al-Ṣiḥḥa bi’l Riyāḍa' focuses on health promotion through exercise, aligning with ICD-11's Z87.89 which covers factors influencing health status not elsewhere classified.  The definition highlights strengthening the body and removing harmful substances, which are aspects of health maintenance rather than specific diseases."
Other specified methods of managing the health condition,,,,,,,,,Ḥifẓ al-Ṣiḥḥa bi’l Qay’,O-548,90%,"The Unani practice of  Ḥifẓ al-Ṣiḥḥa bi’l Qay’ focuses on health maintenance through emesis, a procedure not directly classified within a specific ICD-11 category, but falls under the broader umbrella of 'Other specified methods of managing the health condition' as it's a deliberate intervention aimed at health preservation."
"Pregnancy-related condition, not elsewhere classified",,,,,,,,,Ḥifẓ Ṣiḥḥa al-Ḥublā,O-550,90%,"The Unani term 'Ḥifẓ Ṣiḥḥa al-Ḥublā' describes antenatal care, encompassing preventive healthcare for the pregnant woman and fetus. This aligns directly with the broad category of pregnancy-related conditions in ICD-11, encompassing various aspects of prenatal health management not specified elsewhere."
"Z92.2, Postpartum state",,,,,,,,,Ḥifẓ Ṣiḥḥa al-Murḍi‘a,O-551,90%,"The term 'Ḥifẓ Ṣiḥḥa al-Murḍi‘a' focuses on preventive healthcare for lactating women, which falls directly under the postpartum period and its associated health maintenance; thus, Z92.2 is the most appropriate ICD-11 code."
P96-Other specified conditions originating in the perinatal period,,,,,,,,,Tadbīr al-Raḍā‘,O-552,90%,"'Tadbīr al-Raḍā‘' focuses on breastfeeding practices and infant care, aligning with perinatal conditions; the specific practices described don't map to a more precise ICD-11 category, hence 'Other specified conditions'."
Puerperal and neonatal care,,,,,,,,,Tadbīr al-Mawlūd,O-553,95%,"Tadbir al-Mawlud encompasses various practices for newborn health, aligning directly with the ICD-11 category 'Puerperal and neonatal care' which includes procedures and management related to the immediate postpartum period and the newborn's well-being."
Child health supervision,,,,,,,,,Ḥifẓ Ṣiḥḥa al-Ṣabīy Ba‘d al-Fiṭām,O-554,90%,"The Unani term focuses on maintaining the health of an infant post-weaning, encompassing dietary advice, hygiene, and exercise; this aligns directly with the preventative and health-promoting aspects of child health supervision as categorized in ICD-11."
"Z71.0 - Encounter for general examination, health assessment, and health promotion",,,,,,,,,Ḥifẓ Ṣiḥḥa al-Ṭifl,O-555,90%,"The Unani term 'Ḥifẓ Ṣiḥḥa al-Ṭifl' encompasses preventive child care, including dietary advice, emotional regulation, habit formation, and physical activity, all components of a general health assessment and promotion consistent with ICD-11 Z71.0."
Z71.0 - General preventive health care,,,,,,,,,Ḥifẓ Ṣiḥḥa al-Shābb,O-556,90%,"The term 'Ḥifẓ Ṣiḥḥa al-Shābb' focuses on preventative health measures in young adults, encompassing exercise, massage, dietary regimens, and waste removal, aligning directly with the broad scope of general preventive health care under Z71.0 in ICD-11."
"XA90, Other specified manifestations of general ill health",,,,,,,,,Ḥifẓ Ṣiḥḥa al-Kahl,O-557,90%,"The Unani term 'Ḥifẓ Ṣiḥḥa al-Kahl' focuses on health preservation during aging, encompassing various preventative measures.  This aligns broadly with 'Other specified manifestations of general ill health' in ICD-11, as it addresses holistic well-being in the elderly without specifying a particular disease."
Other specified disorders of the nervous system affecting the elderly,,,,,,,,,Ḥifẓ Ṣiḥḥa al-Shaykh,O-558,90%,"The Unani term 'Ḥifẓ Ṣiḥḥa al-Shaykh' focuses on health preservation for the elderly, encompassing various aspects of geriatric care.  While not a specific disease,  'Other specified disorders of the nervous system affecting the elderly' is the closest ICD-11 category as it allows for unspecified conditions common in geriatrics that might require holistic care, which is the essence of the Unani description."
"Z80.81, Other specified personal history affecting health status",,,,,,,,,Tadbīr al-Musāfir,O-561,90%,"'Tadbīr al-Musāfir' focuses on preventative health measures for travelers, aligning with ICD-11's Z codes which classify factors influencing health status; Z80.81 specifically encompasses other specified personal history relevant to travel-related health."
Z77.0 - Personal history of exposure to potentially harmful environmental factors,,,,,,,,,Ḥifẓ Ṣiḥḥa al-Musāfir fi'l Barr,O-562,90%,"The Unani term focuses on preventative health measures for travelers facing various environmental hazards (heat, cold, dehydration, fatigue), directly aligning with ICD-11's Z77.0, which addresses personal history of exposure to such factors."
Z99.1 -  Personal history of other specified diseases and conditions,,,,,,,,,Ḥifẓ Ṣiḥḥa al-A‘ḍā',O-565,90%,"The Unani term 'Ḥifẓ Ṣiḥḥa al-A‘ḍā'' focuses on maintaining organ health and preventing disease, aligning with Z99.1 which codes for a personal history of conditions related to health maintenance and wellness; it's not a disease itself but a history indicating preventative measures."
Other specified disorders of the head and neck,,,,,,,,,Ḥifẓ Ṣiḥḥa al-Ra’s,O-567,90%,"The Unani term 'Ḥifẓ Ṣiḥḥa al-Ra’s' focuses on maintaining the overall health of the head, encompassing preventative measures against various head and neck disorders, rather than a specific disease.  This aligns broadly with the ICD-11 category for unspecified head and neck issues, given the lack of precise disease specificity in the definition."
Other specified disorders of the conjunctiva and sclera,,,,,,,,,Ḥifẓ Ṣiḥḥa al-‘Ayn,O-568,90%,"The Unani term 'Ḥifẓ Ṣiḥḥa al-‘Ayn' focuses on preventative measures for eye health, encompassing various aspects like avoiding irritants and maintaining hygiene, which aligns broadly with the ICD-11 category encompassing unspecified eye conditions and preventative care, though not a specific disease."
"K70, Other disorders of the mouth",,,,,,,,,Ḥifẓ Ṣiḥḥa al-Lisān,O-571,90%,"The Unani term 'Ḥifẓ Ṣiḥḥa al-Lisān' focuses on maintaining tongue health through dietary and hygiene practices, aligning broadly with the ICD-11 category 'K70, Other disorders of the mouth' which encompasses conditions impacting oral health, though it's preventative rather than directly treating a disorder."
KF7A.0 Primary tooth decay,,,,,,,,,Ḥifẓ Ṣiḥḥa al-Asnān,O-572,90%,"The Unani term 'Ḥifẓ Ṣiḥḥa al-Asnān' focuses on maintaining healthy teeth, directly contrasting with tooth decay (caries).  The preventative measures listed target the avoidance of conditions leading to KF7A.0."
JE10-Other specified disorders of the respiratory system,,,,,,,,,Ḥifẓ Ṣiḥḥa al-Ri’a wa Qaṣaba al-Ri’a,O-573,90%,"The Unani term focuses on maintaining the health of the lungs and trachea,  a preventative approach aligning with the ICD-11 category encompassing unspecified respiratory disorders, rather than a specific disease entity."
"K50, Intestinal dysbiosis",,,,,,,,,Ḥifẓ Ṣiḥḥa al-Am‘ā’,O-576,90%,"The Unani term 'Ḥifẓ Ṣiḥḥa al-Am‘ā’ focuses on maintaining intestinal health by avoiding gas-producing foods, directly addressing the balance of gut microbiota which is a central aspect of intestinal dysbiosis as defined in ICD-11 K50."
"K70, Disorders of liver function",,,,,,,,,Ḥifẓ Ṣiḥḥa al-Kabid,O-577,90%,"The Unani term 'Ḥifẓ Ṣiḥḥa al-Kabid' focuses on maintaining liver health, directly relating to the ICD-11 category K70 which encompasses various disorders of liver function, including preventative aspects."
Other specified disorders of joints,,,,,,,,,Ḥifẓ Ṣiḥḥa al-Mafāṣil,O-579,90%,"The Unani term 'Ḥifẓ Ṣiḥḥa al-Mafāṣil' focuses on maintaining joint health, a preventative approach.  While not a specific disease,  'Other specified disorders of joints' within ICD-11's musculoskeletal chapter is the closest fit encompassing the absence of joint pathology and the overall goal of maintaining healthy joints."
Z20 - Use of contraceptive methods,,,,,,,,,Man‘ al-Ḥabal,O-580,95%,"The Unani term 'Man‘ al-Ḥabal', meaning 'prevention of conception', directly corresponds to the ICD-11 category Z20, which encompasses the use of various contraceptive methods, reflecting the voluntary nature of preventing conception as explicitly stated in the long definition."
Z30 - Use of contraceptive methods,,,,,,,,,Tadbīr-i-Man‘-i-Ḥaml,O-581,95%,"The provided definition explicitly describes 'methods used to prevent conception,' directly corresponding to the ICD-11 category Z30, which encompasses the use of various contraceptive methods, aligning perfectly with the Unani term 'Tadbīr-i-Man‘-i-Ḥaml'."
Unspecified manifestation,,,,,,,,,‘Alāmāt,Q,90%,"The Unani term 'Alāmāt' directly translates to 'signs and symptoms,' which is a general descriptor covering various manifestations and lacks specificity for a single ICD-11 diagnosis;  'Unspecified manifestation' best captures this broad meaning."
Disorders of the eyelid and lacrimal system,,,,,,,,,Amrāḍ-i-Āmāq,BB,90%,"'Amrāḍ-i-Āmāq' directly translates to diseases of the canthi, which are the angles of the eyelids. This precisely corresponds to conditions affecting the eyelid and lacrimal system within the ICD-11 classification."
"H50-H54, Disorders of conjunctiva",,,,,,,,,Amrāḍ-i-Multaḥima,BC,95%,"The provided term 'Amrāḍ-i-Multaḥima' explicitly refers to diseases of the conjunctiva, which directly maps to the ICD-11 category H50-H54 encompassing various conjunctival disorders."
Disorders of the iris,,,,,,,,,Amrāḍ-i-Ṭabaqa'-i-‘Inabiyya,BE,95%,"The provided Unani term 'Amrāḍ-i-Ṭabaqa'-i-‘Inabiyya' directly translates to 'diseases of the iris,' which is a precise and unambiguous description aligning perfectly with the ICD-11 category encompassing iris-specific pathologies."
Disorders of the pupil,,,,,,,,,Amrāḍ-i-Ḥadaqa,BF,90%,"'Amrāḍ-i-Ḥadaqa' directly translates to 'diseases of the pupil', which precisely corresponds to the broad category encompassing various pupil-related disorders within the ICD-11 classification, although a more specific ICD-11 code would require further clinical details."
Disorders of eyelids and lacrimal system,,,,,,,,,Amrāḍ-i-Ahdāb,BH,90%,"Amrāḍ-i-Ahdāb, meaning 'diseases of eyelashes', directly relates to conditions affecting the eyelids and their associated structures, encompassing the scope of 'Disorders of eyelids and lacrimal system' within ICD-11, which includes eyelash disorders."
Disorders of visual acuity and refractive errors,,,,,,,,,Amrāḍ-i-Quwwat Bāṣira,BI,90%,"The Unani term 'Amrāḍ-i-Quwwat Bāṣira' directly translates to 'diseases of eyesight,' encompassing visual acuity and refractive issues, which are precisely covered under this ICD-11 chapter."
Diseases of the retina,,,,,,,,,Amrāḍ-i-Ṭabaqa'-i-Shabkiyya,BJ,95%,"The provided term 'Amrāḍ-i-Ṭabaqa'-i-Shabkiyya' directly translates to 'Diseases of the retina,' which is a comprehensive category encompassing various retinal conditions.  This aligns perfectly with the broad scope of retinal diseases covered within the ICD-11 chapter on eye diseases."
Diseases of the choroid,,,,,,,,,Amrāḍ-i-Ṭabaqa'-i-Mashīmiyya,BK,95%,"The provided Unani term 'Amrāḍ-i-Ṭabaqa'-i-Mashīmiyya' directly translates to 'Diseases of the choroid,' which is a precise anatomical location and aligns perfectly with the broad category encompassing various choroidal diseases within ICD-11, avoiding more specific diagnoses without further clinical details."
Disorders of the mouth,,,,,,,,,Amrāḍ-i-Dahan,CC,95%,"The Unani term 'Amrāḍ-i-Dahan' directly translates to 'diseases of the mouth,' which encompasses a broad range of conditions aligning with the ICD-11 chapter on disorders of the mouth, encompassing various specific diagnoses within that chapter."
